 condition,  answer,  response,  correct,  RT,  N/T  disimilarity,N/N  disimilarity,  x1,  y1,  x2,y2,  orientation 
 vs,  no,  no,  1,  2146.749,  0.40,  0.25,  0.70,  0.09,  -0.60,  0.34,  0 
 vs,  yes,  yes,  1,  1189.356,  0.60,  0.05,  0.60,  0.30,  -0.70,  0.35,  0 
 vs,  yes,  yes,  1,  773.641,  0.40,  0.25,  0.70,  0.09,  -0.60,  0.34,  0 
 vs,  yes,  yes,  1,  1686.488,  0.40,  0.25,  0.70,  0.09,  -0.60,  0.34,  0 
 vs,  yes,  yes,  1,  1426.936,  0.60,  0.05,  0.60,  0.30,  -0.70,  0.35,  0 
 vs,  yes,  yes,  1,  849.983,  0.50,  0.30,  0.70,  0.10,  -0.50,  0.40,  0 
 vs,  yes,  yes,  1,  1383.512,  0.40,  0.40,  0.60,  -0.31,  -0.60,  0.09,  0 
 vs,  no,  no,  1,  2279.197,  0.20,  0.00,  0.60,  0.10,  -0.50,  0.10,  0 
 vs,  no,  no,  1,  1620.488,  0.50,  0.20,  0.50,  -0.35,  -0.60,  -0.15,  0 
 vs,  yes,  yes,  1,  1931.611,  0.50,  0.25,  0.60,  -0.38,  -0.70,  -0.12,  0 
 vs,  yes,  yes,  1,  750.816,  0.30,  0.30,  0.60,  -0.20,  -0.60,  0.10,  0 
 vs,  yes,  yes,  1,  912.324,  0.50,  0.05,  0.60,  -0.28,  -0.70,  -0.23,  0 
 vs,  yes,  yes,  1,  1043.849,  0.50,  0.05,  0.60,  0.23,  -0.60,  0.28,  0 
 vs,  yes,  yes,  1,  714.126,  0.50,  0.05,  0.60,  -0.28,  -0.70,  -0.23,  0 
 vs,  yes,  yes,  1,  1813.564,  0.40,  0.40,  0.50,  -0.33,  -0.60,  0.07,  0 
 vs,  no,  no,  1,  2189.426,  0.50,  0.00,  0.60,  -0.25,  -0.60,  -0.25,  0 
 vs,  no,  no,  1,  1718.006,  0.50,  0.00,  0.70,  0.25,  -0.70,  0.25,  0 
 vs,  no,  no,  1,  2209.152,  0.50,  0.20,  0.70,  -0.33,  -0.50,  -0.13,  0 
